Date,Open,High,Low,Close,Volume
2017-08-05,46.24,46.88,45.16,45.56,447306.19
2017-08-06,45.56,46.7,45.21,46.11,432033.81
2017-08-07,46.11,49.93,45.69,49.13,806041.04
2017-08-08,49.13,50.2,46.9,47.78,745195.68
2017-08-09,47.78,48.68,46.97,46.97,392052.42
2017-08-10,46.97,47.62,46.63,47.11,448579.01
2017-08-11,47.11,47.77,46.0,46.27,556583.31
2017-08-12,46.27,47.43,44.0,45.49,766715.89
2017-08-13,45.49,46.56,45.15,45.7,426212.9
2017-08-14,45.7,45.8,41.78,43.17,780853.12
2017-08-15,43.17,44.94,42.1,43.97,509014.15
2017-08-16,43.97,44.74,43.13,43.83,425047.05
2017-08-17,43.83,47.92,43.23,46.74,888951.07
2017-08-18,46.74,46.89,43.39,45.19,457998.6
2017-08-19,45.19,47.39,44.07,45.81,384435.33
2017-08-20,45.81,48.94,45.27,48.09,640039.35
2017-08-21,48.09,48.1,44.85,46.4,611195.45
2017-08-22,46.4,55.43,46.05,53.44,1634534.74
2017-08-23,53.44,53.58,50.34,50.36,1089289.29
2017-08-24,50.36,52.3,49.78,51.09,605527.97
2017-08-25,51.09,52.13,50.09,51.58,433091.45
2017-08-26,51.58,64.49,51.37,61.08,2047430.31
2017-08-27,61.08,64.95,58.87,62.36,1318375.9
2017-08-28,62.36,64.2,61.17,63.76,930398.05
2017-08-29,63.76,66.57,61.86,65.97,829751.02
2017-08-30,65.97,74.59,65.12,73.03,1850032.75
2017-08-31,73.03,92.77,71.5,87.88,3815830.4
2017-09-01,87.88,93.67,73.29,79.18,3196898.62
2017-09-02,79.18,84.07,74.95,79.04,1569976.63
2017-09-03,79.04,79.06,62.97,68.89,2825457.07
2017-09-04,68.89,74.69,63.29,73.73,1992004.89
2017-09-05,73.73,82.17,73.69,81.44,1886517.57
2017-09-06,81.44,82.84,77.4,80.25,1211324.83
2017-09-07,80.25,82.2,68.42,73.19,2538937.55
2017-09-08,73.19,73.95,69.0,71.09,1077310.24
2017-09-09,71.09,71.11,63.33,67.08,1583298.28
2017-09-10,67.08,71.21,65.55,68.13,1079756.1
2017-09-11,68.13,71.97,64.72,65.89,1421854.09
2017-09-12,65.89,66.34,57.87,61.78,2300788.17
2017-09-13,61.78,62.66,44.9,45.2,3985897.67
2017-09-14,45.2,55.65,33.38,52.0,7263563.12
2017-09-15,52.0,57.34,50.54,52.1,2259867.99
2017-09-16,52.1,53.18,47.73,51.0,1436990.91
2017-09-17,51.0,57.49,50.98,56.16,2025289.72
2017-09-18,56.16,56.7,51.27,52.8,1657588.51
2017-09-19,52.8,54.37,51.07,51.56,879633.65
2017-09-20,51.56,52.48,45.11,46.46,2062267.22
2017-09-21,46.46,49.03,44.8,47.67,1642332.89
2017-09-22,47.67,50.01,46.38,49.29,924125.98
2017-09-23,49.29,49.4,47.18,47.5,616636.42
2017-09-24,47.5,53.16,47.47,52.27,1296904.9
2017-09-25,52.27,54.37,51.42,52.27,917656.12
2017-09-26,52.27,57.39,52.24,56.9,1367042.73
2017-09-27,56.9,57.16,54.0,54.91,1162968.87
2017-09-28,54.91,54.93,50.44,52.8,1219765.7
2017-09-29,52.8,55.91,52.75,55.41,670838.08
2017-09-30,55.41,55.55,53.58,54.8,558315.88
2017-10-01,54.8,54.97,52.93,53.29,567239.29
2017-10-02,53.29,53.54,51.34,52.15,589394.71
2017-10-03,52.15,52.98,50.53,51.22,600284.58
2017-10-04,51.22,51.87,50.17,51.64,520188.77
2017-10-05,51.64,52.75,51.34,52.08,415386.22
2017-10-06,52.08,52.9,51.61,52.57,365539.08
2017-10-07,52.57,54.79,52.32,53.3,678233.14
2017-10-08,53.3,53.44,48.12,50.08,1081756.15
2017-10-09,50.08,51.63,49.69,50.58,627881.58
2017-10-10,50.58,51.05,50.18,50.79,394320.41
2017-10-11,50.79,59.72,50.73,59.72,2193019.01
2017-10-12,59.72,60.76,55.11,59.05,2096690.25
2017-10-13,59.05,66.48,58.34,63.94,1773158.56
2017-10-14,63.94,69.95,62.08,65.57,2079801.1
2017-10-15,65.58,66.41,62.28,64.76,898220.74
2017-10-16,64.76,64.97,58.5,59.19,1016881.05
2017-10-17,59.19,61.89,53.05,60.55,1709310.65
2017-10-18,60.55,61.39,58.35,59.68,986953.9
2017-10-19,59.68,62.17,58.31,60.09,921517.73
2017-10-20,60.08,60.36,56.17,58.09,820490.72
2017-10-21,58.09,58.67,55.73,56.51,538797.55
2017-10-22,56.52,56.57,51.92,54.63,1171396.45
2017-10-23,54.63,58.98,52.35,55.56,1227190.77
2017-10-24,55.56,56.4,53.52,56.19,666770.87
2017-10-25,56.19,56.95,54.9,55.55,448359.29
2017-10-26,55.55,55.99,54.69,55.02,353161.94
2017-10-27,55.02,55.79,53.95,54.22,308611.81
2017-10-28,54.22,57.83,53.86,56.75,745887.06
2017-10-29,56.75,58.66,55.81,56.22,575177.06
2017-10-30,56.22,56.74,55.49,55.5,429393.98
2017-10-31,55.5,55.62,52.72,52.83,633540.44
2017-11-01,52.82,54.9,50.03,54.19,1316174.14
2017-11-02,54.19,56.13,53.79,55.98,808480.75
2017-11-03,55.98,56.12,54.62,54.83,431022.66
2017-11-04,54.84,55.45,54.43,54.6,415689.5
2017-11-05,54.6,55.79,53.43,54.5,655602.25
2017-11-06,54.5,63.49,54.47,60.52,1990453.25
2017-11-07,60.52,64.07,59.59,62.38,1929054.85
2017-11-08,62.38,66.9,61.59,64.15,1507681.54
2017-11-09,64.15,65.75,56.02,58.99,1845061.12
2017-11-10,59.07,63.77,58.64,62.14,1169795.97
2017-11-11,62.14,62.26,56.73,58.54,1527653.8
2017-11-12,58.53,61.84,58.07,61.0,1058638.68
2017-11-13,61.0,63.41,60.12,62.13,936563.06
2017-11-14,62.13,76.1,62.08,63.16,934924.43
2017-11-15,63.15,72.5,62.5,70.7,1640431.26
2017-11-16,70.7,71.29,65.33,67.36,1728098.47
2017-11-17,67.36,69.77,65.41,69.42,811385.44
2017-11-18,69.42,73.24,68.47,71.76,1103659.82
2017-11-19,71.76,73.16,70.9,72.38,979972.34
2017-11-20,72.38,72.85,68.09,69.91,1283528.9
2017-11-21,69.91,72.04,69.88,72.03,675949.97
2017-11-22,72.03,76.77,70.74,72.94,1452417.2
2017-11-23,72.97,77.61,72.34,77.54,1103526.27
2017-11-24,77.53,89.47,77.07,88.79,1908366.6
2017-11-25,88.77,88.77,83.73,86.24,927136.62
2017-11-26,86.2,93.11,86.12,90.99,1588524.41
2017-11-27,90.99,94.53,89.53,94.22,1209822.51
2017-11-28,94.22,103.03,78.12,85.41,2993509.96
2017-11-29,85.4,92.23,76.95,85.94,1893458.34
2017-11-30,85.94,100.22,81.11,99.15,2191137.08
2017-12-01,99.15,103.41,97.52,99.32,1419498.63
2017-12-02,99.32,106.77,96.87,100.7,1362821.76
2017-12-03,100.71,103.95,95.39,103.87,1070029.64
2017-12-04,103.86,103.91,100.37,100.49,910964.87
2017-12-05,100.49,103.0,95.11,98.97,1462459.21
2017-12-06,98.94,99.81,86.93,96.0,1731647.86
2017-12-07,95.99,136.4,93.37,125.24,4076572.6
2017-12-08,125.34,179.54,125.34,155.98,5632742.17
2017-12-09,155.98,156.72,130.39,147.84,2513708.41
2017-12-10,147.46,225.55,146.97,214.54,4325680.61
2017-12-11,214.53,401.76,210.36,328.52,5958977.43
2017-12-12,327.96,347.8,276.12,305.27,3799072.43
2017-12-13,305.03,314.78,268.12,279.81,2000999.92
2017-12-14,280.02,317.69,249.24,300.27,2872380.22
2017-12-15,299.98,311.18,285.56,302.04,1299384.74
2017-12-16,302.04,332.09,300.59,319.57,1599061.91
2017-12-17,319.57,364.34,300.88,357.51,1900832.44
2017-12-18,357.51,376.1,324.37,346.87,2310681.43
2017-12-19,346.73,346.73,286.54,304.81,2365656.66
2017-12-20,304.77,327.26,286.39,307.69,1381946.46
2017-12-21,307.69,309.11,158.96,262.09,4775833.04
2017-12-22,262.15,312.71,256.31,284.11,1519044.69
2017-12-23,283.69,285.4,244.14,272.24,1190611.75
2017-12-24,272.24,283.46,262.39,268.21,569060.0
2017-12-25,268.03,283.86,267.58,279.49,687239.9
2017-12-26,279.47,285.32,252.87,264.07,812937.24
2017-12-27,264.07,265.65,224.07,249.86,1155310.98
2017-12-28,249.84,258.36,236.39,243.13,836578.77
2017-12-29,243.13,243.42,202.02,212.07,1218741.31
2017-12-30,212.07,235.4,207.95,226.52,841309.91
2017-12-31,226.52,232.26,216.42,224.34,516920.48
2018-01-01,224.34,260.53,224.28,251.81,1278275.25
2018-01-02,251.81,256.81,241.11,244.63,851666.05
2018-01-03,244.63,244.88,225.59,238.3,880942.78
2018-01-04,238.3,251.56,235.0,244.51,1073887.31
2018-01-05,244.51,305.21,243.56,278.92,1820160.48
2018-01-06,278.92,287.27,265.37,271.57,764130.75
2018-01-07,271.57,273.47,231.21,254.25,1056007.91
2018-01-08,254.24,258.59,237.98,246.04,733760.61
2018-01-09,246.02,249.31,230.66,249.1,859733.09
2018-01-10,249.11,252.89,217.85,226.53,1131662.93
2018-01-11,226.53,241.83,219.62,235.35,601578.96
2018-01-12,235.35,262.87,235.3,257.94,713207.86
2018-01-13,257.94,268.81,231.43,236.86,766737.16
2018-01-14,236.86,244.4,230.79,231.89,466142.48
2018-01-15,231.89,232.4,147.78,183.86,2444227.94
2018-01-16,183.7,204.56,136.45,188.21,2667358.04
2018-01-17,188.14,208.37,175.46,191.03,1421991.47
